firstname	commonname	surname	skintypecode	haircolorcode	facialhairtypecode	managerid	hairtypecode	headtypecode	height	seasonaloutfitid	weight	hashighqualityhead	gender	headassetid	ethnicity	faceposerpreset	teamid	eyebrowcode	eyecolorcode	personalityid	headclasscode	nationality	sideburnscode	headvariation	skintonecode	outfitid	hairstylecode	bodytypecode	facialhaircolorcode
Jimmy		Thelin	2	6	8	249671	155	16	180	5528	75	0	0	249671	1	0	700	0	1	0	0	46	0	0	1	5569	0	83	2
Rikard		Norling	51	9	6	250386	190	2016	185	5529	75	0	0	250386	1	0	702	0	1	1	0	46	0	0	1	5590	0	86	0
Vítor Hugo	Vítor Gazimba	Brito Gazimba	0	3	8	262596	92	34	181	5511	75	0	0	262596	2	0	705	0	9	0	0	38	0	0	2	5520	0	83	0
Milos		Milojevic	2	6	0	254250	108	2016	175	5521	75	0	0	254250	2	0	708	1	3	0	0	51	0	0	2	5522	0	83	2
Kim		Bergstrand	51	6	0	249857	161	4006	180	5511	75	0	0	249857	2	0	710	0	2	0	0	46	0	0	2	5506	0	83	1
Per-Mathias		Høgmo	51	9	6	250286	26	3516	179	5511	75	0	0	250286	2	0	711	6	1	1	0	36	0	0	2	5524	0	83	0
Ersun		Yanal	51	9	6	249339	291	1500	178	5511	75	0	0	249339	3	0	741	0	5	0	0	48	0	0	3	5503	0	83	0
Marc		Bircham	51	5	6	262196	65	2517	180	5529	75	0	0	262196	2	0	753	6	1	1	0	70	0	0	2	5510	0	83	3
Andreas		Heraf	51	6	0	248984	160	2517	176	5520	75	0	0	248984	2	0	780	6	1	0	0	4	0	0	2	5520	0	83	1
Jess		Thorup	51	9	0	17455	290	2	190	5511	83	0	0	17455	1	0	819	0	1	0	0	13	0	0	1	5506	0	86	1
Martí	Martí Cifuentes	Cifuentes Corvillo	2	9	4	250029	17	3	178	5529	75	0	0	250029	3	0	820	0	3	1	0	45	0	0	3	5586	0	83	0
Carit		Falch	2	5	8	260116	65	33	176	5557	75	0	0	260116	1	0	822	0	8	1	0	13	0	0	1	5526	0	83	0
Vinny		Perth	0	3	0	149751	22	3504	182	5511	77	0	0	149751	2	0	837	0	1	0	0	25	0	0	2	5505	0	83	3
Maciej		Skorża	51	9	0	249961	195	2029	188	5509	75	0	0	249961	2	0	873	0	9	1	0	37	0	0	2	5507	0	86	0
André		Breitenreiter	51	5	0	248972	114	2508	182	5509	75	0	0	248972	2	0	894	6	6	0	0	21	0	0	2	5551	0	83	3
Patrick		Rahmen	51	5	6	261702	114	4006	183	5509	75	0	0	261702	2	0	896	0	4	0	0	47	0	0	2	5520	0	83	3
Fabio		Celestini	51	9	6	117321	16	3002	183	5511	83	0	0	117321	4	0	897	0	3	0	0	47	0	0	4	5565	0	82	0
Peter		Zeidler	51	1	0	250308	0	2501	184	5555	75	0	0	250308	2	0	898	6	1	1	0	21	0	0	2	5569	0	83	0
David		Wagner	51	1	4	240199	552	1528	183	5527	78	1	0	240199	4	3	900	0	5	1	0	95	0	0	3	5552	0	83	0
Eirik		Kjønø	0	5	16	263195	154	29	180	5551	75	0	0	263195	1	0	917	1	1	0	0	36	0	0	1	5551	0	83	0
Kjetil		Knutsen	51	9	0	249860	155	2030	182	5511	75	0	0	249860	3	0	918	0	3	0	0	36	0	0	3	5506	0	83	3
Eirik		Horneland	51	3	4	249307	101	33	180	5511	75	0	0	249307	1	0	919	1	1	0	0	36	0	0	1	5520	0	83	2
			0	9	0	270134	95	2510	177	5527	75	0	0	26544	2	0	920	1	3	1	0	54	0	0	2	5585	0	83	0
Bjørn Petter		Ingebretsen	51	9	6	249058	150	30	185	5511	75	0	0	249058	2	0	922	0	3	0	0	36	0	0	2	5551	0	86	0
Nam Il	Kim Nam Il	Kim	1	1	0	254805	143	518	180	5505	75	0	0	254805	4	0	981	0	3	1	0	167	0	0	4	5505	0	83	2
Jin Sub	Park Jin Sub	Park	1	1	0	136246	150	548	177	5536	68	0	0	136246	4	0	982	2	3	1	0	167	0	0	4	5582	0	81	0
Eduardo		Baptista	1	1	0	270048	118	514	182	5578	75	0	0	26544	4	0	983	1	9	0	0	54	0	0	4	5582	0	83	0
Paolo		Montero	0	3	6	5394	16	4002	179	5527	74	0	0	5394	2	0	1013	1	3	1	0	60	0	0	2	5522	0	82	0
Javier		Aguirre	51	9	0	192945	105	3506	173	5511	75	0	0	192945	3	0	1032	0	3	1	0	83	0	0	3	5505	0	88	0
Eduardo		Coudet	2	1	4	138814	179	1	178	5558	73	1	0	1109	4	0	1035	0	3	1	0	52	0	1	4	900007	0	82	0
Paulo		Turra	0	1	0	271346	141	1035	180	5563	75	1	0	271346	2	2	1039	0	1	1	1	54	0	0	3	900011	0	89	0
Fernando		Lázaro	0	1	0	271345	16	1	180	5563	75	1	0	214098	2	2	1041	0	1	1	0	54	0	1	6	900003	0	86	0
Vitor	Vitor Pereira	Pereira	0	1	0	270010	16	1	180	5506	75	1	0	570	2	2	110	0	1	1	0	38	0	2	3	900010	0	86	0
Mano	Mano Menezes	Menezes	0	1	0	249955	16	1	180	5563	75	0	0	226764	2	2	1048	0	1	1	0	54	0	1	3	900008	0	86	0
Odair		Hellmann	0	1	0	271344	0	17	180	5563	75	1	0	237067	2	2	1053	0	1	1	0	54	0	1	3	900005	0	86	0
Gareth		Southgate	2	3	8	42	182	25	183	5541	75	0	0	42	2	0	1318	0	3	0	0	14	0	0	2	5518	0	83	0
Franco		Foda	51	9	6	249416	114	2512	180	5535	75	0	0	249416	2	0	1322	0	1	1	0	21	0	0	2	5500	0	83	2
			0	1	6	270172	21	1516	175	5535	77	0	0	26544	4	0	1325	0	9	0	0	45	0	0	3	5501	0	83	0
Jaroslav		Šilhavý	51	9	0	249646	291	1520	180	5575	75	0	0	249646	2	0	1330	1	6	0	0	12	0	0	2	5575	0	83	1
Kasper		Hjulmand	2	5	0	249835	150	2008	184	5557	75	0	0	249835	2	0	1331	0	1	0	0	13	0	0	2	5500	0	83	1
Markku		Kanerva	2	9	0	250025	93	2024	185	5561	75	0	0	250025	2	0	1334	0	3	0	0	17	0	0	2	5502	0	86	1
Didier		Deschamps	51	9	0	220469	150	2024	169	5511	71	0	0	220469	2	0	1335	0	5	0	0	18	0	0	2	5513	0	89	3
Hans-Dieter		Flick	2	5	4	254149	150	42	177	5558	75	0	0	254149	2	0	1337	6	1	0	0	21	0	0	2	5525	0	83	3
John		van't Schip	51	6	6	249704	114	2508	182	5511	75	0	0	249704	2	0	1338	6	3	0	0	34	0	0	2	5505	0	83	2
Arnar		Viðarsson	2	3	0	19260	186	29	177	5511	77	0	0	19260	2	0	1341	0	3	0	0	24	0	0	2	5510	0	82	3
			2	3	6	225576	66	24	179	5530	78	0	0	26543	2	0	1343	0	7	0	0	27	0	0	2	5512	0	82	2
Ståle		Solbakken	2	0	6	250516	0	2002	190	5509	75	0	0	250516	2	0	1352	0	2	1	0	36	0	0	2	5517	0	86	1
			0	1	0	250265	16	1	177	5530	75	0	0	26540	2	3	1353	0	1	0	0	38	0	0	2	5501	0	83	0
Fernando Manuel	Fernando Santos	da Costa Santos	51	9	0	249380	204	40	173	5547	75	0	0	249380	2	0	1354	1	9	0	0	38	0	0	2	5517	0	89	0
Stephen		Kenny	51	6	0	250535	104	30	175	5560	75	0	0	250535	2	0	1355	0	8	0	0	25	0	0	2	5501	0	83	3
Mirel		Rădoi	2	1	4	254538	171	2017	177	5511	75	0	0	254538	2	0	1356	0	4	1	0	39	0	0	2	5502	0	83	0
Valeriy		Karpin	2	5	4	250638	69	2029	185	5528	75	0	0	250638	3	0	1357	1	3	1	0	40	0	0	3	5566	0	86	3
Steve		Clarke	51	9	4	250538	26	11	178	5511	75	0	0	250538	2	0	1359	0	5	0	0	42	0	0	2	5506	0	83	0
Luis Enrique	Luis Enrique	Martínez García	2	9	4	249948	150	2004	180	5536	75	0	0	249948	4	0	1362	0	6	0	0	45	0	0	4	5523	0	83	0
Jan		Andersson	51	9	0	249629	114	16	180	5511	75	0	0	249629	2	0	1363	0	1	1	0	46	0	0	2	5524	0	83	1
			0	1	0	63049	16	1	180	5500	75	0	0	26537	2	0	1366	0	1	1	0	14	0	0	1	5500	0	86	0
Rob		Page	2	3	4	250393	0	4001	183	5526	75	0	0	250393	2	0	1367	6	3	1	0	50	0	0	2	5566	0	83	3
Lionel		Scaloni	2	1	6	8842	77	34	182	5521	80	0	0	8842	2	0	1369	0	3	0	0	52	0	0	2	5522	0	82	0
Agenor	Tite	Tite	0	1	0	63050	16	1	180	5563	75	1	0	5471	2	2	1043	0	1	1	0	14	0	1	1	5505	0	86	0
Gerardo		Martino	51	9	0	249463	189	2506	175	5527	75	0	0	249463	3	0	1386	6	4	0	0	52	0	0	3	5510	0	83	2
			2	6	6	18887	75	7	185	5557	77	0	0	26538	2	0	1387	2	2	0	0	95	0	0	1	5523	0	85	3
Tie	Li Tie	Li	2	3	0	250589	125	559	183	5511	75	0	0	250589	4	0	1413	0	9	1	0	155	0	0	4	5510	0	83	2
Graham		Arnold	51	9	0	249495	29	2016	183	5551	75	0	0	249495	2	0	1415	2	6	0	0	195	0	0	2	5566	0	83	1
Daniel António	Daniel Ramos	Lopes Ramos	2	1	0	249186	189	1517	175	5535	75	0	0	249186	2	0	1438	0	5	0	0	38	0	0	2	5505	0	83	0
Henrik		Rydström	2	5	6	47178	0	19	177	5560	72	0	0	47178	2	0	1439	0	1	1	0	46	0	0	2	5510	0	82	3
			0	9	0	270122	95	1	177	5527	75	0	0	26542	2	0	1443	1	3	1	0	54	0	0	2	5585	0	83	0
			0	9	0	270123	95	1	177	5527	75	0	0	26543	2	0	1447	1	3	1	0	54	0	0	2	5585	0	83	0
Jan Frode		Nornes	51	12	8	256332	65	2024	187	5511	75	0	0	256332	2	0	1456	6	1	0	0	36	0	0	2	5510	0	86	3
Jostein		Grindhaug	51	6	0	104481	65	4004	174	5511	83	0	0	104481	3	0	1463	0	8	1	0	36	0	0	3	5510	0	89	1
Leandro		Zago	2	1	0	270040	9	538	182	5509	73	0	0	26540	4	0	1473	0	3	1	0	54	0	0	4	5584	0	82	0
Luiís Roberto	Pingo	Magalhães	2	1	0	270051	153	560	171	5520	75	0	0	26547	4	0	1474	1	9	1	0	54	0	0	4	5503	0	89	0
Júnior		Rocha	2	1	0	270045	522	557	184	5530	75	0	0	26541	4	0	1477	1	3	1	0	54	0	0	4	5703	0	83	0
Ricardo		Drubscky	0	1	0	270046	158	560	177	5505	69	0	0	26542	4	0	1478	0	3	0	0	54	0	0	4	5704	0	82	0
			0	1	0	254491	16	1	180	5564	75	0	0	26541	2	3	1480	0	6	0	0	14	0	0	1	5523	0	83	0
Bo		Henriksen	51	0	4	140433	84	4001	178	5509	75	0	0	140433	3	0	1516	2	1	1	0	13	0	0	3	5507	0	83	1
			0	1	0	253721	16	1	181	5509	75	0	0	26538	2	0	1530	0	2	0	0	18	0	0	1	5506	0	83	0
Maciej		Bartoszek	51	0	0	249960	0	1500	180	5506	75	0	0	249960	2	0	1569	6	8	1	0	37	0	0	2	5566	0	83	1
			0	1	0	1848	16	1	183	5557	71	0	0	26544	2	0	1572	0	9	0	0	34	0	0	3	5567	0	83	0
Alexandru		Pelici	2	9	6	262658	72	1500	187	5551	75	0	0	262658	3	0	1586	6	3	1	0	39	0	0	3	5522	0	86	3
Renato	Renato Paiva	Paiva	0	1	0	5	16	1012	180	5521	75	1	0	26544	2	2	1598	0	1	1	1	39	0	0	3	5522	0	131	0
Renato		Portaluppi	0	1	0	63019	16	1	180	5521	75	1	0	1625	2	2	1629	0	1	1	0	54	0	2	6	5521	0	86	0
			0	1	0	250258	16	1	186	5541	75	0	0	26544	2	0	1738	0	9	0	0	18	0	0	3	5523	0	86	0
Aurelio		Andreazzoli	51	9	0	249035	29	3513	180	5511	75	0	0	249035	3	0	1746	0	6	0	0	27	0	0	3	5501	0	83	0
Yves		Vanderhaeghe	51	3	0	16947	72	2020	180	5527	84	0	0	16947	2	0	1750	1	1	0	0	7	0	0	2	5522	0	83	0
Hans Erik		Ødegaard	51	3	6	260345	117	3500	180	5511	75	0	0	260345	1	0	1757	0	10	0	0	36	0	0	1	5506	0	83	1
Thomas		Thomasberg	51	5	6	41039	155	3500	180	5511	75	0	0	41039	1	0	1786	0	8	0	0	13	0	0	1	5526	0	83	0
			0	9	0	270115	95	1503	177	5527	75	0	0	26537	2	0	1787	1	3	1	0	54	0	0	2	5585	0	83	0
Flemming		Pedersen	2	9	0	249387	25	3513	183	5511	75	0	0	249387	1	0	1788	0	1	0	0	13	0	0	1	5566	0	83	1
			0	1	0	249189	16	1	175	5511	75	0	0	26543	2	0	1790	0	7	1	0	14	0	0	2	5510	0	83	0
Daniel		Farke	51	5	4	249179	35	1532	182	5509	75	1	0	249179	3	0	1792	0	4	0	0	21	0	0	4	5567	0	83	0
			0	1	0	250645	16	1	184	5564	75	0	0	26543	2	0	1793	0	7	1	0	51	0	0	2	5506	0	83	0
			0	1	0	146331	16	1	191	5547	87	0	0	26543	2	0	1794	0	7	0	0	51	0	0	2	5501	0	86	0
Francisco	Xisco	Muñoz Llompart	2	1	0	260110	64	30	175	5558	75	0	0	260110	3	0	1795	1	3	0	0	45	0	0	3	5566	0	83	0
Vincent		Kompany	2	1	11	139720	0	1007	190	5558	75	1	0	139720	6	0	1796	1	3	0	0	7	0	0	6	5534	0	5	0
			0	6	4	53904	16	4000	175	5509	74	0	0	26544	2	0	1797	1	9	0	0	14	0	0	3	5510	0	81	2
			0	1	0	263863	16	1	183	5511	75	0	0	26541	2	3	1798	0	6	0	0	14	0	0	1	5510	0	83	0
Patrick		Vieira	2	1	6	262194	297	1025	193	5557	75	1	0	1419	9	3	1799	2	9	0	0	18	0	0	7	5523	0	4	0
			0	1	0	53796	16	1	173	5511	65	0	0	26539	2	0	1800	0	1	0	0	14	0	0	2	5520	0	89	0
			0	1	0	262115	16	1	172	5511	75	0	0	26538	2	0	1801	0	2	0	0	42	0	0	1	5510	0	89	0
			0	1	0	250542	16	1	170	5547	75	0	0	26539	2	0	1802	0	1	1	0	42	0	0	2	5584	0	89	0
			0	1	0	262263	16	1	177	5511	75	0	0	26541	2	3	1803	0	6	0	0	14	0	0	1	5551	0	83	0
			0	1	0	4104	16	1	178	5511	69	0	0	26540	2	3	1804	0	1	0	0	42	0	0	2	5526	0	83	0
			51	9	0	250063	59	2029	170	5509	75	0	0	26541	2	3	1805	0	6	0	0	47	0	0	1	5500	0	89	0
			0	1	0	250085	16	1	180	5544	75	0	0	26539	2	0	1806	0	1	0	0	35	0	0	2	5578	0	83	0
			2	1	6	53016	0	1008	188	5511	96	0	0	26545	9	2	1807	0	9	0	0	82	0	0	8	5506	0	86	0
Graham		Potter	2	2	0	156320	114	25	185	5557	75	1	0	156320	2	4	1808	6	2	0	0	14	0	0	2	5505	0	86	1
			0	1	0	250316	16	1	178	5535	75	0	0	26540	2	3	1809	0	1	0	0	18	0	0	2	5504	0	83	0
			0	1	0	256901	16	1	182	5509	75	0	0	26540	2	3	1813	0	1	0	0	18	0	0	2	5526	0	83	0
			0	1	0	250244	16	1	173	5510	75	0	0	26537	2	0	1815	0	1	0	0	18	0	0	1	5567	0	89	0
			0	1	0	250314	16	1	178	5513	75	0	0	26540	2	3	1816	0	1	0	0	18	0	0	2	5523	0	83	0
			0	1	0	167942	16	1	177	5529	75	0	0	26540	2	3	1819	0	1	0	0	18	0	0	2	5505	0	83	0
			0	3	0	50992	32	13	179	5509	78	0	0	26541	2	3	1823	0	6	1	0	21	0	0	1	5510	0	82	2
			2	5	0	152260	17	2015	181	5558	72	0	0	26540	2	3	1824	0	1	0	0	4	0	0	2	5504	0	82	1
Pavel		Dotchev	51	9	3	250269	72	2516	176	5527	75	0	0	250269	1	0	1825	1	4	0	0	9	0	0	1	5521	0	83	0
			0	1	0	250625	16	1	178	5511	75	0	0	26542	2	0	1831	0	3	0	0	47	0	0	2	5551	0	83	0
			0	1	0	256011	16	1	183	5509	75	0	0	26541	2	3	1832	0	6	0	0	21	0	0	1	5522	0	83	0
Roberto		D'Aversa	51	3	8	164378	77	30	184	5509	75	0	0	164378	2	0	1837	0	3	0	0	27	0	0	2	5505	0	82	0
Walter		Mazzarri	51	3	0	234529	637	4003	180	5532	81	1	0	234529	2	0	1842	0	8	1	0	27	0	0	3	5523	0	82	0
Francisco	Paco López	López Fernández	51	1	0	249402	0	4006	172	5509	75	0	0	249402	2	0	1853	0	9	0	0	45	0	0	2	5504	0	89	0
José Miguel	Míchel	González Martín	51	1	0	241376	633	22	183	5529	79	1	0	241376	4	0	1860	0	4	0	0	45	0	0	6	5512	0	83	0
Joan Francesc	Rubi	Ferrer Sicilia	2	3	6	249684	160	4006	170	5505	75	0	0	249684	2	0	1861	0	4	0	0	45	0	0	2	5523	0	89	0
			0	9	0	270138	95	1	177	5527	75	0	0	26540	2	0	1862	1	3	1	0	54	0	0	2	5585	0	83	0
Czesław		Michniewicz	51	3	0	249171	154	2007	188	5520	75	0	0	249171	2	0	1871	6	2	1	0	37	0	0	2	5566	0	86	1
Adrián		Guľa	2	1	6	256025	0	2029	185	5510	75	0	0	256025	3	0	1873	1	1	0	0	43	0	0	3	5566	0	86	0
Peter		Stöger	51	9	0	152227	114	36	176	5509	70	0	0	152227	2	0	1874	6	2	0	0	4	0	0	2	5522	0	83	1
Marcelo	Marcelo Gallardo	Gallardo	2	1	0	249983	100	2505	170	5505	75	1	0	27006	3	2	1876	0	3	0	0	52	0	1	3	5505	0	89	0
Miguel Ángel		Russo	51	3	0	250106	292	1526	175	5511	75	0	0	250106	4	0	1877	2	9	0	0	52	0	0	4	5524	0	83	2
Juan		Reynoso	51	1	0	254016	167	1506	181	5560	75	0	0	254016	4	0	1878	2	9	0	0	59	0	0	4	5524	0	83	0
Santiago		Solari	2	1	6	10962	9	4006	182	5511	79	0	0	10962	4	0	1879	0	3	0	0	52	0	0	4	5514	0	82	0
Víctor Manuel		Vucetich	51	9	0	250655	189	527	172	5527	75	0	0	250655	2	0	1880	0	9	0	0	83	0	0	2	5507	0	89	0
Andrés		Lillini	51	5	4	257420	297	2517	173	5527	75	0	0	257420	2	0	1881	0	5	0	0	52	0	0	2	5520	0	89	3
Hernán		Cristante	2	6	0	140136	78	2024	181	5536	82	0	0	140136	3	0	1882	1	6	0	0	52	0	0	3	5571	0	82	3
Ivan		Jovanović	51	9	17	262655	142	4001	180	5505	75	0	0	262655	2	0	1884	0	3	1	0	51	0	0	2	5534	0	83	0
Marco		Rossi	51	9	3	249995	0	33	185	5540	75	0	0	249995	2	0	1886	6	3	0	0	27	0	0	2	5515	0	86	1
Pedro Miguel	Pepa	Costa Filipe	2	1	0	250281	0	530	185	5558	75	0	0	250281	5	0	1887	0	9	0	0	38	0	0	5	5505	0	86	0
José Ricardo	Ricardo Soares	Soares Ribeiro	2	3	4	249784	290	3513	185	5555	75	0	0	249784	3	0	1888	1	3	0	0	38	0	0	3	5507	0	86	2
Armando	Petit	Gonçalves Teixeira	2	3	4	4083	290	6	176	5538	68	0	0	4083	2	0	1889	0	3	1	0	38	0	0	2	5501	0	82	2
António Jorge	Jorge Simão	Rocha Simão	2	1	6	249015	8	34	177	5528	75	0	0	249015	4	0	1892	1	9	0	0	38	0	0	4	5505	0	83	0
Julio	Julio Velázquez	Velázquez Santiago	2	1	5	249817	21	1507	178	5535	75	0	0	249817	2	0	1893	0	3	0	0	45	0	0	2	5514	0	83	0
Carlos Augusto	Carlos Carvalhal	Carvalhal	51	6	0	243208	135	3513	178	5535	82	1	0	243208	4	0	1896	1	3	0	0	38	0	0	4	5505	0	83	0
João Pedro	João Pedro Sousa	Ramos Borges Sousa	2	9	0	250861	43	42	183	5511	75	0	0	250861	3	0	1898	1	3	0	0	38	0	0	3	5523	0	83	0
João Alexandre	João Henriques	Nunes Henriques	2	9	8	249685	167	3512	180	5535	75	0	0	249685	2	0	1900	0	9	0	0	38	0	0	2	5505	0	83	0
			0	1	0	250365	16	1	176	5509	75	0	0	26540	2	3	1903	0	1	0	0	34	0	0	2	5510	0	83	0
			0	1	0	254511	16	1	180	5509	75	0	0	26538	2	0	1905	0	2	0	0	34	0	0	1	5513	0	83	0
			0	1	0	259935	16	1	180	5555	75	0	0	26544	2	0	1906	0	9	0	0	34	0	0	3	5582	0	83	0
			0	1	0	249431	16	1	188	5557	75	0	0	26538	2	0	1907	0	2	0	0	34	0	0	1	5533	0	86	0
			0	1	0	250428	16	1	182	5536	75	0	0	26539	2	0	1908	0	1	0	0	34	0	0	2	5518	0	83	0
			0	1	0	250582	16	1	190	5557	75	0	0	26538	2	0	1909	0	2	0	0	21	0	0	1	5534	0	86	0
			0	1	0	263729	16	1	186	5511	75	0	0	26539	2	0	1910	0	1	0	0	34	0	0	2	5566	0	86	0
			0	1	0	249706	16	1	175	5578	75	0	0	26538	2	0	1913	0	2	0	0	34	0	0	1	5578	0	83	0
			0	1	0	262982	16	1	180	5521	75	0	0	26544	2	0	1914	0	9	0	0	34	0	0	3	5551	0	83	0
			2	6	6	138629	72	2008	182	5506	76	0	0	26538	2	0	1915	0	2	1	0	34	0	0	1	5506	0	82	2
			0	1	0	257843	16	1	175	5511	75	0	0	26541	2	3	1917	0	6	0	0	14	0	0	1	5553	0	83	0
			0	1	0	250174	16	1	185	5511	75	0	0	26539	2	0	1919	0	1	0	0	14	0	0	2	5520	0	86	0
			0	1	0	18875	16	1	183	5526	75	0	0	26537	2	0	1920	0	1	0	0	14	0	0	1	5526	0	83	0
			2	3	6	53853	75	13	170	5509	69	0	0	26541	2	3	1923	2	6	1	0	50	0	0	1	5510	0	88	2
Thomas		Frank	51	5	0	250581	84	2004	182	5511	75	0	0	250581	2	0	1925	0	1	0	0	13	0	0	2	5567	0	83	2
			0	1	0	256437	16	1	175	5511	75	0	0	26537	2	0	1926	0	1	0	0	14	0	0	1	5510	0	83	0
			2	3	8	53746	284	17	178	5511	76	0	0	26541	2	3	1928	0	6	1	0	14	0	0	1	5510	0	83	3
			2	9	4	150729	137	2	177	5509	72	0	0	26541	2	3	1929	1	6	1	0	14	0	0	1	5551	0	82	0
			0	1	0	261049	16	1	175	5511	75	0	0	26539	2	0	1930	0	1	0	0	195	0	0	2	5510	0	83	0
			51	9	8	10059	69	2016	188	5509	82	0	0	26540	2	3	1932	0	1	0	0	4	0	0	2	5552	0	85	1
			2	6	0	139479	103	2000	178	5558	79	0	0	26540	2	3	1933	2	1	1	0	14	0	0	2	5508	0	82	2
			0	1	0	254818	16	1	182	5509	75	0	0	26543	2	0	1934	0	7	0	0	14	0	0	2	5506	0	83	0
			0	1	0	254508	16	1	180	5510	75	0	0	26545	2	2	1935	0	9	0	0	14	0	0	8	5510	0	83	0
			2	3	0	140975	16	15	185	5511	73	0	0	26541	2	3	1936	0	6	0	0	35	0	0	1	5510	0	85	2
			0	6	0	19321	17	9	178	5511	66	0	0	26539	2	0	1938	0	1	1	0	42	0	0	2	5506	0	83	3
			0	1	0	257433	16	1	188	5527	75	0	0	26543	2	0	1939	0	7	1	0	45	0	0	2	5520	0	86	0
			0	1	0	151182	16	1	175	5511	75	0	0	26543	2	0	1940	0	7	1	0	14	0	0	2	5510	0	83	0
			0	5	0	19103	16	16	185	5509	76	0	0	26541	2	3	1941	0	6	0	0	14	0	0	1	5566	0	85	3
			2	6	0	8517	115	10	175	5530	69	0	0	26540	2	3	1943	0	1	0	0	14	0	0	2	5514	0	82	2
			0	1	0	255983	16	1	178	5511	75	0	0	26541	2	3	1944	0	6	0	0	14	0	0	1	5510	0	83	0
Phil		Parkinson	51	9	0	250311	291	2031	183	5558	75	0	0	250311	2	0	1947	0	4	1	0	14	0	0	2	5504	0	83	0
			0	1	0	257923	16	1	183	5527	75	0	0	26538	2	0	1949	0	2	0	0	14	0	0	1	5506	0	83	0
			0	1	0	249834	16	1	180	5511	75	0	0	26541	2	3	1951	0	6	0	0	14	0	0	1	5504	0	83	0
			0	1	0	249499	16	1	178	5511	75	0	0	26539	2	0	1952	0	1	0	0	35	0	0	2	5510	0	83	0
			2	6	0	260113	16	2000	183	5509	78	0	0	26541	2	3	1955	0	6	0	0	14	0	0	1	5510	0	82	0
			0	1	0	249846	16	1	178	5529	75	0	0	26542	2	0	1958	0	3	0	0	50	0	0	2	5575	0	83	0
			0	1	0	254124	16	1	185	5509	75	0	0	26543	2	0	1960	0	7	0	0	42	0	0	2	5526	0	86	0
			0	1	0	250097	16	1	188	5511	75	0	0	26537	2	0	1961	0	1	1	0	25	0	0	1	5510	0	86	0
			2	1	9	138193	42	1	175	5511	70	0	0	26541	2	3	1962	0	6	1	0	14	0	0	1	5552	0	82	2
Álvaro	Álvaro Cervera	Cervera Díaz	51	9	8	248965	114	2518	165	5551	75	0	0	248965	1	0	1968	0	9	1	0	45	0	0	1	5523	0	89	0
Miguel		Herrera	2	5	0	220945	85	3513	165	5550	75	1	0	220945	3	0	1970	0	7	1	0	83	0	0	4	5585	0	89	3
Stefan		Krämer	2	4	4	250520	277	5	175	5520	75	0	0	250520	2	0	2013	0	1	1	0	21	0	0	2	5566	0	83	3
Felice		Mazzu	51	9	0	249366	118	25	183	5511	75	0	0	249366	2	0	2014	0	6	0	0	7	0	0	2	5513	0	83	0
Kurt		Russ	51	9	6	262979	641	3513	179	5511	75	0	0	262979	3	0	2017	1	3	0	0	4	0	0	3	5568	0	83	0
Jon Andoni	Jon Bolo	Pérez Alonso	2	9	4	252808	631	7	186	5511	75	0	0	252808	2	0	2023	0	1	0	0	45	0	0	2	5523	0	86	0
Evandro		Guimarães	2	1	0	270156	13	552	175	5506	75	0	0	26541	4	0	2056	1	9	0	0	54	0	0	4	5578	0	83	0
Bruno Miguel	Bruno Pinheiro	Nogueira Pinheiro	2	1	6	262408	0	1533	170	5510	75	0	0	262408	3	0	10020	0	9	0	0	38	0	0	3	5566	0	89	0
			0	1	0	251527	16	1	178	5557	75	0	0	26539	2	0	10029	0	1	0	0	21	0	0	2	5552	0	83	0
			2	2	6	249957	554	2019	178	5527	75	0	0	26541	2	3	10030	2	6	1	0	21	0	0	1	5569	0	83	3
Paulo Sérgio	Paulo Sérgio	Bento Brito	2	3	0	251907	189	2024	186	5558	75	0	0	251907	2	0	10031	6	3	0	0	38	0	0	2	5502	0	86	2
Gustavo	Guga	Rissi	51	9	0	248892	294	525	187	5506	75	0	0	248891	2	0	10032	0	4	1	0	54	0	0	2	5568	0	86	0
Julián	Julián Calero	Calero Fernández	2	6	0	262324	0	3516	175	5557	75	0	0	262324	2	0	10846	0	2	0	0	45	0	0	2	5520	0	83	3
Francky		Dury	2	4	0	249414	95	2017	178	5529	75	0	0	249414	2	0	15005	6	1	0	0	7	0	0	2	5502	0	83	1
			0	9	0	270117	95	1	177	5527	75	0	0	26541	2	0	15009	1	3	1	0	54	0	0	2	5585	0	83	0
			0	1	3	3957	1	1001	183	5555	86	0	0	26545	8	2	15015	0	9	1	0	34	0	0	8	5551	0	82	0
Thomas		Silberberger	51	9	0	251657	72	3510	182	5509	75	0	0	251657	2	0	15040	6	2	1	0	4	0	0	2	5552	0	83	1
			51	9	0	250099	40	30	178	5511	75	0	0	26539	2	0	15048	0	1	0	0	42	0	0	2	5567	0	83	0
Luka		Elsner	2	1	4	251153	141	1512	177	5503	75	0	0	251153	3	0	100081	1	3	0	0	44	0	0	3	5523	0	83	0
Marc		Brys	51	4	0	249974	8	21	173	5555	75	0	0	249974	2	0	100087	1	1	0	0	7	0	0	2	5507	0	89	1
Savvas		Poursaitidis	2	1	0	270148	141	8	174	5500	75	0	0	262743	4	0	100135	1	9	0	0	22	0	0	4	5508	0	89	0
Toni		Koskela	2	5	0	156073	245	2031	189	5527	80	0	0	156073	2	0	100325	0	1	0	0	17	0	0	2	5565	0	85	0
